Posicao na coleta,Gênero do vídeo,Tipo de produtor,Categoria do vídeo,guideCategory,Taxa de engajamento,Idioma,Posicao Geral,Id do canal,Canal,Inscritos no canal,Id do vídeo,Data de publicação,Diferenca de horas entre postagem e coleta,Título do vídeo,Descrição do vídeo,Tags do video,Duração do vídeo,Visualizações,Gostei,Comentários,thumbnail_maxres,Pais
1,,,17,"Physical_fitness, Lifestyle_(sociology), Health",14.09%,pt-BR,1,UCGfrC6R2PSMeXv4hdhONB6Q,Growth TV,3260000,kkkU0pifrTU,2025-04-06T02:08:43Z,18.00 horas,BITELO É CAMPEÃO DO ARNOLD CLASSIC BRASIL COM LEO STRONDA E FABIO GIGA,"SE INSCREVA TAMBÉM !!!
https://www.youtube.com/@GrowthExpertsTV

O que achou do Vídeo ?
Deixe nos comentários  👇

- -

Whey Protein aprovado em todos os laudos de proteína:
https://bit.ly/whey_concentrado
 
FACEBOOK:
https://www.facebook.com/growthsupplementos.com.br


INSTAGRAM:
https://www.instagram.com/growthsupplements/?hl=pt-br


Quer um Nutricionista Online? Acesse agora:
https://bit.ly/3qspPPF","BITELO, BITELO CAMPEÃO, GROWTH, growth tv, leo stronda, fabio giga",00:57:38,455887,61285,2957,https://i.ytimg.com/vi/kkkU0pifrTU/maxresdefault.jpg,BR
2,,,17,"Sport, Motorsport, Vehicle, Lifestyle_(sociology)",2.54%,en,2,UCB_qr75-ydFVKSF9Dmo6izg,FORMULA 1,12100000,or9ooNWaqKU,2025-04-06T08:42:44Z,11.43 horas,Race Highlights | 2025 Japanese Grand Prix,"Catch up on all the highlights from the Japanese Grand Prix, which saw dramatic wheel-to-wheel battles, key pit stop decisions and late surges to the final flag.

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1 #JapaneseGP","F1, Formula One, Formula 1, Sports, Sport, Action, GP, Grand Prix, Auto Racing, Motor Racing, Japanese Grand Prix, Max Verstappen",00:08:12,3567655,86595,4033,https://i.ytimg.com/vi/or9ooNWaqKU/maxresdefault.jpg,N/A
3,,,17,"Sport, Association_football",2.98%,pt-BR,3,UCZiYbVptd3PVPf4f6eR6UaQ,CazéTV,18700000,xB3i3oye7mM,2025-04-06T00:38:11Z,19.51 horas,MELHORES MOMENTOS: CORINTHIANS 3 X 0 VASCO | BRASILEIRÃO 2025 | 2ª RODADA,"Na CazéTV, você acompanha tudo sobre o Paulistão, Europa League, Conference League, Brasileirão, NFL, Bundesliga, Ligue 1 e muito mais! Não quer perder nada? Se inscreve aí, po!","CazéTV, Cazé TV, Casimiro ao vivo, Casimiro, CazéTV ao vivo, Cazé ao vivo, cazetv, casimiro jogos, caze tv ao vivo, jogo ao vivo, assistir futebol, cazetv ao vivo",00:05:17,897529,25798,938,https://i.ytimg.com/vi/xB3i3oye7mM/maxresdefault.jpg,BR
4,,,20,"Role-playing_video_game, Video_game_culture, Action-adventure_game",2.67%,pt-BR,4,UCyC0k0VclJg02J2zH72HszA,RobinLive,11000,pFK29PKaFz0,2025-04-05T20:29:30Z,23.65 horas,ESCAPE DA PRISÃO DA CAPIVARA PERIGOSA NO ROBLOX!!,,"minecraft, roblox, robin hood, escape da capivara, prisão roblox, escape da prisão",00:20:06,91491,2394,48,https://i.ytimg.com/vi/pFK29PKaFz0/maxresdefault.jpg,N/A
5,,,17,"Sport, Society, Association_football, Politics",3.08%,,5,UCRC3upGcj_decdPi7JXT7Bg,GZH,698000,DW0ID2-zXzc,2025-04-06T00:05:50Z,20.05 horas,COMENTÁRIO DE CCD APÓS A DERROTA DO GRÊMIO NO CASTELÃO | BALANÇO FINAL | 05/04/2025,"Grêmio perde para o Ceará pela segunda rodada do Brasileirão ⏩ https://bit.ly/4i0Kcbr

INSCREVA-SE no canal e não perca nenhum lance do seu time do coração. 

CURTA E COMPARTILHE com seus amigos. 

Últimas notícias do Gauchão: https://bit.ly/gauchao2025

#CampeonatoBrasileiro
#Grêmio
#Ceará
#RádioGaúcha
#GZH","radio gaucha ao vivo, gzh ao vivo youtube, gzh ao vivo youtube com imagens agora, gzh ao vivo youtube gremio, brasileirão ao vivo hoje, brasileirão 2025 palpites, gzh ao vivo agora com imagem, futebol ao vivo agora, futebol ao vivo agora no youtube com imagem, futebol ao vivo agora com imagens, radio gaucha ao vivo no youtube, rádio gaúcha de porto alegre ao vivo no youtube, ceara x gremio ao vivo, gremio ao vivo com imagens, gzh grêmio ao vivo, brasileirão ao vivo agora",00:13:39,79488,2122,323,https://i.ytimg.com/vi/DW0ID2-zXzc/maxresdefault.jpg,BR
6,,,17,"Sport, Association_football",3.18%,,6,UCgCKagVhzGnZcuP9bSMgMCg,ge,5880000,cXrvxa2Pxnc,2025-04-06T00:04:38Z,20.07 horas,CEARÁ 2 X 0 GRÊMIO | MELHORES MOMENTOS | 2ª RODADA BRASILEIRÃO 2025 | ge.globo,"Ceará vence Grêmio no Castelão pelo Campeonato Brasileiro com gols de Pedro Raul e Matheus Araújo.

🌟 Confira todos os melhores momentos com mais replays em ge.globo:
https://ge.globo.com/ce/futebol/brasileirao-serie-a/jogo/05-04-2025/ceara-gremio.ghtml

#ceará #grêmio #melhoresmomentos 

______________________________________
✅ INSCREVA-SE NO CANAL GE:  https://cutt.ly/xfHlwBk

👍 Curtiu o vídeo? Deixe seu like e dê seu pitaco 😎⚽ 

🌟 Playlists pra você maratonar 🌟 

► Bola Quadrada:  https://cutt.ly/IfHk7ra 
► BMFC: https://cutt.ly/gfHk5bH
►Humor no GE: https://cutt.ly/HfHk6SY
►Jogos Históricos: https://cutt.ly/BkxoZJX
► Listas e TOPs: https://cutt.ly/hkxo51U
► Originais GE: https://cutt.ly/vkxpunL
► Melhores Momentos do Brasileirão:  https://cutt.ly/NfHk9TS
► Melhores Copa do Brasil: https://cutt.ly/LfHk3Di
► Gols Série B: https://cutt.ly/LfHk84c

✅ Inscreva-se, também, no canal do CARTOLA FC e fique por dentro das melhores dicas do maior fantasy game do Brasil - https://cutt.ly/ffV1Xri
______________________________________  

No canal ge você encontra os melhores conteúdos do FUTEBOL BRASILEIRO! 🤙😎","GREMIO, GRêMIO, CEARA, ceará, vozao, vozão, castelao, pedro raul, goleiro, penalti, pÊnalti, dois toques, recuo, recua, esporte, globo, ge, canal ge, globoesporte, sportv, futebol, canal do ge, ao vivo, com imagem, com imagens, melhores momentos, gol, gols, lances, highlights, brasileirao, brasileirão, campeonato brasileiro, gols da rodada, gols do dia, gols do fantástico, pos jogo, pós-jogo, pos-jogo, pós jogo, #shorts, #short, shorts, short, VOLPI, matheus araujo, matheus araújo",00:04:48,852302,25540,1552,https://i.ytimg.com/vi/cXrvxa2Pxnc/maxresdefault.jpg,BR
7,,,20,"Role-playing_video_game, Video_game_culture, Action-adventure_game, Action_game",3.88%,pt-BR,7,UCrcBZDofBltcgGxphNia2tw,ProbIems,10500000,_uyX8mtqYN0,2025-04-06T13:00:56Z,7.13 horas,Entrei no Servidor de Exército Brasileiro no Minecraft!,"💚👇🏻ESTOU EM PORTUGAL!!👇🏻❤️
https://linktr.ee/problemsshow

Minha Loja:
https://www.curtaloja.com/marca/problems.html

Contato COMERCIAL:
comercial@agenciacurta.com

Segue a turma no instagram:

Problems💙 https://www.instagram.com/problems_sr/
Mel 💛https://www.instagram.com/kaikemel/
Kadu 💖 https://www.instagram.com/kadukon/
Stick 💚https://www.instagram.com/guualfaro/
Zoom 🧡 https://www.instagram.com/josedu4rdo/

ENXADAHOST - Cupom: Problems

ATENÇÃO: O conteúdo do vídeo é 100% family friendly, ou seja qualquer um pode assistir com toda a familia quando quiser!!

#problems #minecraft","maniqueft, lego, problems, probrems, probres, pobrems, problemas, problema, pobrema, mainequeft, minecraft, video do problema, video do problems, video do pobrems, minecraft survival, minecraft mitos, minecraft fatos, problems roblox, roblox, pobrems roblox, pobris roblox, pobrema roblox, problema roblox",00:16:47,326674,12087,600,https://i.ytimg.com/vi/_uyX8mtqYN0/maxresdefault.jpg,BR
8,,,1,"Film, Entertainment",9.33%,pt-BR,8,UCP6nJ-Elnfnpjv6HQRsv1Cw,Walt Disney Studios BR,2120000,No8t1WodVNk,2025-04-05T16:40:11Z,27.47 horas,Tron: Ares | Trailer Oficial Dublado,"Em outubro, mundos vão colidir.

#Tron: Ares, em 9 de outubro nos cinemas.",,00:01:33,146481,12299,1361,https://i.ytimg.com/vi/No8t1WodVNk/maxresdefault.jpg,BR
9,,,22,Lifestyle_(sociology),14.98%,,9,UCGtLddhfXm4q_vXx4OXsTag,Ana Cecília,75800,8NLmi9A0pZs,2025-04-05T21:12:31Z,22.93 horas,Nosso segundo bebê é ... 🩷🩵 *Chá revelação* 🥰,"Muito obrigada por assistir o vídeo até o final, não se esqueça de curtir, comentar e compartilhar. Deus abençoe!🩷🩷🩷🩷

Meu Instagram:",,00:34:58,73720,10468,577,https://i.ytimg.com/vi/8NLmi9A0pZs/maxresdefault.jpg,N/A
10,,,20,Lifestyle_(sociology),6.34%,pt-BR,10,UCUp6wodtd6vPPj1ZmFfVoIQ,Taspio,4850000,p0XHOra3m3M,2025-04-05T21:40:12Z,22.47 horas,Eu Não Acredito Que Você É o Mascarado!!,"🔵 GRUPO DO CANAL: https://ig.me/j/AbYdeyVaitcqAd0L/

🟣 LIVES : https://www.twitch.tv/taspio

🔴 CANAL DE CORTES : https://www.youtube.com/@cortesdotaspio

🟡 INSTA : https://www.instagram.com/taspio/

❤️ Use code ''TASPIO'' na loja de itens do Fortnite

👉 Seja MEMBRO e Ajude a Apoiar o Canal (membros não da acesso a vídeos antecipados)
https://www.youtube.com/channel/UCUp6wodtd6vPPj1ZmFfVoIQ/join

DEIXA O LIKE E INSCREVA-SE NO CANAL RAPAZIADA TMJ!!

✉️Contato: agencia.taspío@gmail.com","fortnite, taspio, season 8 fortnite, hero base",00:26:58,1203420,65948,10334,https://i.ytimg.com/vi/p0XHOra3m3M/maxresdefault.jpg,BR
